sqft_m2,price,discount,link,rooms,address,date
135.0,850.0,50,http://idealista.com/inmueble/36267019/,4,"calle Paulino Caballero, 2º Ensanche, Pamplona/Iruña",2017-10-05
100.0,850.0,0,http://idealista.com/inmueble/37944835/,3,"Iturrama, Iturrama, Pamplona/Iruña",2017-10-05
117.0,1000.0,0,http://idealista.com/inmueble/37927475/,3,"calle Isabel Garbayo Ayala, 9, Lezkairu, Pamplona/Iruña",2017-10-05
140.0,1000.0,0,http://idealista.com/inmueble/37903852/,4,"San Juan de la Cadena, San Juan, Pamplona/Iruña",2017-10-05
85.0,750.0,0,http://idealista.com/inmueble/38143449/,2,"paseo Sandua, San Jorge, Pamplona/Iruña",2017-10-05
150.0,1100.0,0,http://idealista.com/inmueble/36292526/,4,"plaza Juan XXIII, San Juan, Pamplona/Iruña",2017-10-05
111.0,1000.0,0,http://idealista.com/inmueble/37491153/,3,"calle Teodoro Ochoa de Alda, Echavacoiz, Pamplona/Iruña",2017-10-05
104.0,750.0,0,http://idealista.com/inmueble/38119947/,4,"calle de iturrama, Iturrama, Pamplona/Iruña",2017-10-05
102.0,680.0,0,http://idealista.com/inmueble/38119946/,4,"calle señorío de egulbati, Mendillorri, Pamplona/Iruña",2017-10-05
105.0,900.0,0,http://idealista.com/inmueble/28440277/,4,"calle Tafalla, 2º Ensanche, Pamplona/Iruña",2017-10-05
124.0,1200.0,0,http://idealista.com/inmueble/38131151/,3,"plaza de la Libertad, 2º Ensanche, Pamplona/Iruña",2017-10-05
105.0,800.0,0,http://idealista.com/inmueble/38093461/,3,"paseo garcía el de nájera, Iturrama, Pamplona/Iruña",2017-10-05
156.0,1200.0,100,http://idealista.com/inmueble/38068638/,4,"PLAZAOLA, 2, 2º Ensanche, Pamplona/Iruña",2017-10-05
115.0,600.0,0,http://idealista.com/inmueble/38283223/,3,"concejo de Azpa, Mendillorri, Pamplona/Iruña",2017-10-05
124.0,750.0,0,http://idealista.com/inmueble/38181429/,4,"2º Ensanche, Pamplona/Iruña",2017-10-05
75.0,750.0,0,http://idealista.com/inmueble/38156772/,1,"avenida de Sancho El Fuerte, Iturrama, Pamplona/Iruña",2017-10-05
95.0,850.0,0,http://idealista.com/inmueble/38123717/,2,"calle Martín Azpilcueta, San Juan, Pamplona/Iruña",2017-10-05
80.0,875.0,50,http://idealista.com/inmueble/37853317/,2,"paseo García el de Nájera, Iturrama, Pamplona/Iruña",2017-10-05
122.0,1200.0,0,http://idealista.com/inmueble/37678005/,4,"avenida de carlos iii el noble, 49, 2º Ensanche, Pamplona/Iruña",2017-10-05
97.0,850.0,0,http://idealista.com/inmueble/38136839/,2,"calle Martín Azpilcueta, San Juan, Pamplona/Iruña",2017-10-05
100.0,1000.0,100,http://idealista.com/inmueble/37813732/,4,"C/TAFALLA, 21, 2º Ensanche, Pamplona/Iruña",2017-10-05
105.0,780.0,0,http://idealista.com/inmueble/30988250/,3,"calle de iturrama, Iturrama, Pamplona/Iruña",2017-10-05
100.0,760.0,0,http://idealista.com/inmueble/32234793/,4,"calle de miguel astrain, Azpilagaña, Pamplona/Iruña",2017-10-05
125.0,850.0,0,http://idealista.com/inmueble/35604103/,4,"calle de Iturrama, Iturrama, Pamplona/Iruña",2017-10-05
105.0,900.0,0,http://idealista.com/inmueble/30218536/,4,"calle de Iñigo Arista, Iturrama, Pamplona/Iruña",2017-10-05
105.0,800.0,0,http://idealista.com/inmueble/38230186/,3,"Martinez de Ubago, 2, Buztintxuri, Pamplona/Iruña",2017-10-05
95.0,800.0,50,http://idealista.com/inmueble/38111953/,2,"calle Martín Azpilcueta, San Juan, Pamplona/Iruña",2017-10-05
110.0,740.0,0,http://idealista.com/inmueble/37965014/,3,"Rochapea, Pamplona/Iruña",2017-10-05
81.0,750.0,0,http://idealista.com/inmueble/37868083/,2,"Ático en Pedro Aranaz, Azpilagaña, Pamplona/Iruña",2017-10-05
144.0,1100.0,0,http://idealista.com/inmueble/37356784/,3,"2º Ensanche, Pamplona/Iruña",2017-10-05
165.0,1300.0,0,http://idealista.com/inmueble/35913746/,4,"2º Ensanche, Pamplona/Iruña",2017-10-05
86.0,700.0,0,http://idealista.com/inmueble/38096980/,3,"calle de San Roque, 1, San Juan, Pamplona/Iruña",2017-10-05
100.0,850.0,0,http://idealista.com/inmueble/25572356/,3,"Iturrama, Pamplona/Iruña",2017-10-05
75.0,750.0,0,http://idealista.com/inmueble/27303824/,2,"avenida de la Baja Navarra, s/n, 1º Ensanche, Pamplona/Iruña",2017-10-05
95.0,700.0,50,http://idealista.com/inmueble/34031303/,2,"paseo sandua, San Jorge, Pamplona/Iruña",2017-10-05
63.0,575.0,0,http://idealista.com/inmueble/38219095/,2,"calle San Nicolás, Casco Antiguo, Pamplona/Iruña",2017-10-05
125.0,850.0,0,http://idealista.com/inmueble/38148451/,3,"calle Monasterio de Zilbeti, San Juan, Pamplona/Iruña",2017-10-05
69.0,500.0,0,http://idealista.com/inmueble/37752181/,1,"calle san nicolás, Casco Antiguo, Pamplona/Iruña",2017-10-05
68.0,520.0,0,http://idealista.com/inmueble/38294804/,2,"calle Carmen, 28, Casco Antiguo, Pamplona/Iruña",2017-10-05
87.0,800.0,0,http://idealista.com/inmueble/38304655/,2,"calle Martín Azpilcueta, 20, San Juan, Pamplona/Iruña",2017-10-05
110.0,600.0,0,http://idealista.com/inmueble/38296267/,3,"calle Concejo de Azpa, Mendillorri, Pamplona/Iruña",2017-10-05
95.0,700.0,0,http://idealista.com/inmueble/38286284/,3,"calle de fidel lopez de aparicio, Milagrosa, Pamplona/Iruña",2017-10-05
115.0,780.0,0,http://idealista.com/inmueble/38281082/,3,"calle Río Alzania, 10, Milagrosa, Pamplona/Iruña",2017-10-05
92.0,750.0,0,http://idealista.com/inmueble/38221523/,3,"avenida Galicia, 3, 2º Ensanche, Pamplona/Iruña",2017-10-05
97.0,750.0,0,http://idealista.com/inmueble/38165957/,2,"paseo Sandua, San Jorge, Pamplona/Iruña",2017-10-05
100.0,800.0,50,http://idealista.com/inmueble/28159488/,3,"paseo Anelier, 30, Rochapea, Pamplona/Iruña",2017-10-05
150.0,1100.0,0,http://idealista.com/inmueble/38000636/,4,"calle esquíroz, Iturrama, Pamplona/Iruña",2017-10-05
90.0,800.0,0,http://idealista.com/inmueble/37960311/,3,"calle de Irunlarrea, Mendebaldea, Pamplona/Iruña",2017-10-05
155.0,1300.0,0,http://idealista.com/inmueble/37933204/,4,"calle Felipe Gorriti, 32, 2º Ensanche, Pamplona/Iruña",2017-10-05
100.0,850.0,0,http://idealista.com/inmueble/28072986/,3,"calle Iturrama, Iturrama, Pamplona/Iruña",2017-10-05
97.0,800.0,0,http://idealista.com/inmueble/28510263/,3,"calle la Rioja, Iturrama, Pamplona/Iruña",2017-10-05
140.0,1200.0,0,http://idealista.com/inmueble/27154735/,3,"paseo de pablo sarasate, 1º Ensanche, Pamplona/Iruña",2017-10-05
90.0,800.0,0,http://idealista.com/inmueble/37120111/,2,"calle sancho ramírez, Iturrama, Pamplona/Iruña",2017-10-05
80.0,750.0,0,http://idealista.com/inmueble/36585898/,3,"avenida Galicia, 2º Ensanche, Pamplona/Iruña",2017-10-05
90.0,1100.0,0,http://idealista.com/inmueble/38281064/,3,"calle Florencio de Ansoleaga, 20, Casco Antiguo, Pamplona/Iruña",2017-10-05
50.0,795.0,0,http://idealista.com/inmueble/38268482/,1,"Ático en calle de Emilio Arrieta, 14, 2º Ensanche, Pamplona/Iruña",2017-10-05
95.0,850.0,0,http://idealista.com/inmueble/28859535/,3,"Iturrama, Pamplona/Iruña",2017-10-05
97.0,750.0,0,http://idealista.com/inmueble/37833716/,2,"paseo Sandua, 18, San Jorge, Pamplona/Iruña",2017-10-05
60.0,600.0,0,http://idealista.com/inmueble/38224708/,2,"Ático en recoletas, 8, Casco Antiguo, Pamplona/Iruña",2017-10-05
90.0,875.0,0,http://idealista.com/inmueble/37806676/,2,"paseo García el de Nájera, Iturrama, Pamplona/Iruña",2017-10-05
