id,url,longitude,latitude,found
airbnb20479092,https://www.airbnb.es/rooms/20479092,-2.474753371282956,42.60276671599906,2017-08-19 14:27:39.398000
airbnb19354701,https://www.airbnb.es/rooms/19354701,-2.4741034482759834,42.60362360641217,2017-08-14 22:48:09.061000
airbnb19821490,https://www.airbnb.es/rooms/19821490,-2.4590250014645534,42.605601685075435,2017-08-14 22:48:09.062000
airbnb18222633,https://www.airbnb.es/rooms/18222633,-2.4572790004591263,42.60405609094044,2017-08-14 22:48:09.061000
airbnb1727866,https://www.airbnb.es/rooms/1727866,-2.3500851208394216,42.609511890804164,2017-08-14 22:48:12.675000
airbnb3034503,https://www.airbnb.es/rooms/3034503,-2.2858868113239885,42.56045395541226,2017-08-14 22:48:09.062000
airbnb17154134,https://www.airbnb.es/rooms/17154134,-2.1924611248208756,42.56493022086033,2017-08-14 22:48:12.675000
airbnb13990824,https://www.airbnb.es/rooms/13990824,-2.192118796009106,42.572693466696464,2017-08-14 22:48:12.675000
airbnb10736252,https://www.airbnb.es/rooms/10736252,-2.215479895264713,42.61588310957322,2017-08-14 22:48:12.676000
airbnb662896,https://www.airbnb.es/rooms/662896,-2.2150442786018933,42.61502661184721,2017-08-14 22:48:16.196000
airbnb5879859,https://www.airbnb.es/rooms/5879859,-2.2154706321466606,42.614224863644395,2017-08-14 22:48:09.061000
airbnb634832,https://www.airbnb.es/rooms/634832,-2.215426188822791,42.61430717728111,2017-08-14 22:48:16.196000
airbnb662895,https://www.airbnb.es/rooms/662895,-2.215267279964753,42.61353142207416,2017-08-14 22:48:09.062000
airbnb15003996,https://www.airbnb.es/rooms/15003996,-2.173637629784429,42.64995860488712,2017-08-14 22:48:12.675000
airbnb992259,https://www.airbnb.es/rooms/992259,-2.147168071588267,42.6860369676641,2017-08-14 22:48:09.062000
airbnb4131808,https://www.airbnb.es/rooms/4131808,-2.2509448363891638,42.666542128061465,2017-08-14 22:48:16.196000
airbnb2598639,https://www.airbnb.es/rooms/2598639,-2.2503157586954234,42.66606226850849,2017-08-14 22:48:12.676000
airbnb1903673,https://www.airbnb.es/rooms/1903673,-2.2500749867355854,42.66739668752994,2017-08-14 22:48:12.676000
airbnb4137263,https://www.airbnb.es/rooms/4137263,-2.2505141765325627,42.667690618238474,2017-08-14 22:48:12.675000
airbnb4128670,https://www.airbnb.es/rooms/4128670,-2.2493357573645483,42.6659684274648,2017-08-14 22:48:09.061000
airbnb11682901,https://www.airbnb.es/rooms/11682901,-2.234740703378338,42.711933648142505,2017-08-14 22:48:12.675000
airbnb10851631,https://www.airbnb.es/rooms/10851631,-2.211066779878386,42.775876217826635,2017-08-14 22:49:16.661000
airbnb432985,https://www.airbnb.es/rooms/432985,-2.1648038550171798,42.76712394328589,2017-08-14 22:49:16.662000
airbnb10941201,https://www.airbnb.es/rooms/10941201,-2.218283828973342,42.925692969419664,2017-08-14 22:49:20.494000
airbnb19731228,https://www.airbnb.es/rooms/19731228,-2.1664203233113706,42.890692449101934,2017-08-14 22:49:20.494000
airbnb19731675,https://www.airbnb.es/rooms/19731675,-2.1664090660652287,42.89156607823416,2017-08-14 22:49:16.661000
airbnb17797232,https://www.airbnb.es/rooms/17797232,-2.17369268702694,42.89617667293564,2017-08-14 22:49:24.321000
airbnb19901228,https://www.airbnb.es/rooms/19901228,-2.16637514215987,42.892819337757956,2017-08-14 22:49:24.321000
airbnb19729457,https://www.airbnb.es/rooms/19729457,-2.1659098688753002,42.8927632338993,2017-08-14 22:49:20.493000
airbnb13400298,https://www.airbnb.es/rooms/13400298,-2.1656688224685476,42.89688496600138,2017-08-14 22:49:20.494000
airbnb13336962,https://www.airbnb.es/rooms/13336962,-2.166331508754326,42.89603484974809,2017-08-14 22:49:20.493000
airbnb3371685,https://www.airbnb.es/rooms/3371685,-2.1670908415493755,42.89690399642802,2017-08-14 22:49:24.322000
airbnb13336877,https://www.airbnb.es/rooms/13336877,-2.1671524874395245,42.89747067043529,2017-08-14 22:49:16.661000
airbnb13340211,https://www.airbnb.es/rooms/13340211,-2.166893731879371,42.89759566549375,2017-08-14 22:49:24.321000
airbnb13338876,https://www.airbnb.es/rooms/13338876,-2.1652829876305697,42.89804454343438,2017-08-14 22:49:20.494000
airbnb10080383,https://www.airbnb.es/rooms/10080383,-2.179244531313068,42.909993949023196,2017-08-14 22:49:20.493000
airbnb11993388,https://www.airbnb.es/rooms/11993388,-2.1800117258753486,42.90963165619149,2017-08-14 22:49:20.494000
airbnb12870507,https://www.airbnb.es/rooms/12870507,-2.156513484810748,42.89089076550822,2017-08-14 22:49:24.321000
airbnb1800601,https://www.airbnb.es/rooms/1800601,-2.119668940586644,42.88951371877043,2017-08-14 22:49:20.494000
airbnb1088135,https://www.airbnb.es/rooms/1088135,-2.104270879606751,42.88910750384731,2017-08-14 22:49:20.494000
airbnb6387063,https://www.airbnb.es/rooms/6387063,-2.0114872283844214,42.87653305584887,2017-08-14 22:50:17.306000
