X,Y,id,url,longitude,latitude,found,FEATURE,BARRIO,SECCIONES,URL1,URL2,URL3,URLPDF1,URLPDF2,GEOM_AREA,GEOM_PERI,BEGINLIFE
-1.677926336716062,42.803215686038001,airbnb6942130,https://www.airbnb.es/rooms/6942130,-1.677926336716060,42.803215686038001,2017-08-14 02:15:09.673000,60100017,Etxabakoitz,"D 4 Iturrama (1-26, la 23 no existe): 12, 13, 26",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,1099443.07,5729.41,23/11/2015
-1.677387104757105,42.802815599220018,airbnb6805544,https://www.airbnb.es/rooms/6805544,-1.677387104757105,42.802815599220018,2017-08-14 02:15:24.323000,60100017,Etxabakoitz,"D 4 Iturrama (1-26, la 23 no existe): 12, 13, 26",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,1099443.07,5729.41,23/11/2015
-1.67680586596735,42.802602010743271,airbnb6805193,https://www.airbnb.es/rooms/6805193,-1.676805865967350,42.802602010743271,2017-08-14 02:15:16.943000,60100017,Etxabakoitz,"D 4 Iturrama (1-26, la 23 no existe): 12, 13, 26",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,1099443.07,5729.41,23/11/2015
-1.677510481325002,42.802157622276987,airbnb19010455,https://www.airbnb.es/rooms/19010455,-1.677510481325002,42.802157622276987,2017-08-14 02:15:24.323000,60100017,Etxabakoitz,"D 4 Iturrama (1-26, la 23 no existe): 12, 13, 26",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,1099443.07,5729.41,23/11/2015
-1.678826819569416,42.802662714852907,airbnb3495274,https://www.airbnb.es/rooms/3495274,-1.678826819569416,42.802662714852907,2017-08-14 02:15:20.626000,60100017,Etxabakoitz,"D 4 Iturrama (1-26, la 23 no existe): 12, 13, 26",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,1099443.07,5729.41,23/11/2015
-1.68633627784517,42.807103458547516,airbnb13616275,https://www.airbnb.es/rooms/13616275,-1.686336277845170,42.807103458547516,2017-08-14 02:15:24.323000,60100017,San Jorge-Sanduzelai,"D 7 Arrotxapea (1-23): 10 a 14,  17,  20",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,1515130.60,8379.20,23/11/2015
-1.654389744021546,42.798876771485666,airbnb19220476,https://www.airbnb.es/rooms/19220476,-1.654389744021546,42.798876771485666,2017-08-14 02:33:06.371000,60100017,Iturrama,"D 4 Iturrama (1-26, la 23 no existe): 1, 3 a 10, 14 a 20, 22,  24",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,2405438.39,8323.44,23/11/2015
-1.652289711742406,42.80265686994516,airbnb19455403,https://www.airbnb.es/rooms/19455403,-1.652289711742406,42.802656869945160,2017-08-14 02:32:37.361000,60100017,Iturrama,"D 4 Iturrama (1-26, la 23 no existe): 1, 3 a 10, 14 a 20, 22,  24",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,2405438.39,8323.44,23/11/2015
-1.652534386254613,42.799787392811417,airbnb18610416,https://www.airbnb.es/rooms/18610416,-1.652534386254613,42.799787392811417,2017-08-14 02:32:37.361000,60100017,Iturrama,"D 4 Iturrama (1-26, la 23 no existe): 1, 3 a 10, 14 a 20, 22,  24",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,2405438.39,8323.44,23/11/2015
-1.648711223333714,42.803154369426686,airbnb7158000,https://www.airbnb.es/rooms/7158000,-1.648711223333714,42.803154369426686,2017-08-14 02:32:37.361000,60100017,Iturrama,"D 4 Iturrama (1-26, la 23 no existe): 1, 3 a 10, 14 a 20, 22,  24",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,2405438.39,8323.44,23/11/2015
